PROVINCE,AMPHOE,TEXTURE,SOIL,DAM 2012-09-07,rainfall - 7/9/2012,FLOOD
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียว,3,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียว,3,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนปนทรายแป้ง,11,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนเหนียวปนทรายแป้ง,10,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียว,3,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนเหนียวปนทรายแป้ง,10,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียวปนทรายแป้ง,8,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,น้ำ,0,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียวปนทรายแป้ง,8,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนปนทรายแป้ง,11,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินเหนียว,3,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินเหนียว,3,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินร่วนปนทรายแป้ง,11,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินร่วนเหนียวปนทรายแป้ง,10,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินร่วนเหนียวปนทรายแป้ง,10,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินเหนียวปนทรายแป้ง,8,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,น้ำ,0,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Bang Sai,ดินเหนียวปนทรายแป้ง,8,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Sai,ดินเหนียว,3,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Sai,ดินร่วนปนทรายแป้ง,11,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Sai,ดินเหนียวปนทรายแป้ง,8,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินร่วนปนทรายแป้ง,11,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินร่วนเหนียวปนทรายแป้ง,10,6710,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียวปนทรายแป้ง,8,6710,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,6710,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,6710,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินร่วนปนทรายแป้ง,11,6710,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,6710,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียวปนทรายแป้ง,8,6710,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,น้ำ,0,6710,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,6710,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินร่วนปนทรายแป้ง,11,6710,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียวปนทรายแป้ง,8,6710,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,น้ำ,0,6710,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินร่วนเหนียวปนทรายแป้ง,10,6710,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินเหนียว,3,6710,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินร่วนปนทรายแป้ง,11,6710,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินเหนียวปนทรายแป้ง,8,6710,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,น้ำ,0,6710,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินเหนียว,3,6710,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินเหนียว,3,6710,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนปนทรายแป้ง,11,6710,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนเหนียวปนทรายแป้ง,10,6710,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนเหนียวปนทรายแป้ง,10,6710,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,น้ำ,0,6710,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินร่วนเหนียวปนทรายแป้ง,10,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียวปนทรายแป้ง,8,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินร่วนปนทรายแป้ง,11,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียวปนทรายแป้ง,8,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,น้ำ,0,6710,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนปนทรายแป้ง,11,6710,7.00,2
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนเหนียวปนทรายแป้ง,10,6710,7.00,2
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนเหนียวปนทรายแป้ง,10,6710,7.00,2
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินเหนียว,3,6710,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินเหนียว,3,6710,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินร่วนปนทรายแป้ง,11,6710,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินร่วนเหนียวปนทรายแป้ง,10,6710,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,น้ำ,0,6710,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินร่วนเหนียวปนทรายแป้ง,10,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียวปนทรายแป้ง,8,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียว,3,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินร่วนปนทรายแป้ง,11,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียวปนทรายแป้ง,8,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,น้ำ,0,6710,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินเหนียว,3,6710,3.00,2
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินเหนียว,3,6710,3.00,2
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินร่วนเหนียวปนทรายแป้ง,10,6710,3.00,2
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินเหนียวปนทรายแป้ง,8,6710,3.00,2
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินเหนียว,3,6710,7.00,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินเหนียว,3,6710,7.00,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินร่วนปนทรายแป้ง,11,6710,7.00,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินร่วนเหนียวปนทรายแป้ง,10,6710,7.00,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินร่วนเหนียวปนทรายแป้ง,10,6710,7.00,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,น้ำ,0,6710,7.00,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียวปนทรายแป้ง,8,6710,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียว,3,6710,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียว,3,6710,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียว,3,6710,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียวปนทรายแป้ง,8,6710,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียว,3,6710,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินร่วนปนทรายแป้ง,11,6710,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียว,3,6710,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียว,3,6710,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียวปนทรายแป้ง,8,6710,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียว,3,6710,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียวปนทรายแป้ง,8,6710,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินเหนียวปนทรายแป้ง,8,6710,1.00,2
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินเหนียว,3,6710,1.00,2
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินเหนียว,3,6710,1.00,2
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินร่วนปนทรายแป้ง,11,6710,1.00,2
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินเหนียวปนทรายแป้ง,8,6710,1.00,2
Phra Nakhon Si Ayudhya,Amphoe Sena,น้ำ,0,6710,1.00,2
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียว,3,6710,1.00,1
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียว,3,6710,1.00,1
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินร่วนปนทรายแป้ง,11,6710,1.00,1
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียว,3,6710,1.00,1
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียวปนทรายแป้ง,8,6710,1.00,1
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียวปนทรายแป้ง,8,6710,1.00,1
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียว,3,6710,1.00,1
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียวปนทรายแป้ง,8,6710,1.00,1
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียว,3,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียว,3,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนปนทรายแป้ง,11,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนเหนียวปนทรายแป้ง,10,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียว,3,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนเหนียวปนทรายแป้ง,10,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียวปนทรายแป้ง,8,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,น้ำ,0,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินเหนียวปนทรายแป้ง,8,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Tharua,ดินร่วนปนทรายแป้ง,11,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินเหนียว,3,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินเหนียว,3,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินร่วนปนทรายแป้ง,11,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินร่วนเหนียวปนทรายแป้ง,10,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินร่วนเหนียวปนทรายแป้ง,10,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,ดินเหนียวปนทรายแป้ง,8,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Nakhon Luang,น้ำ,0,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Bang Sai,ดินเหนียวปนทรายแป้ง,8,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Sai,ดินเหนียว,3,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Sai,ดินร่วนปนทรายแป้ง,11,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Sai,ดินเหนียวปนทรายแป้ง,8,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียว,3,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินร่วนปนทรายแป้ง,11,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe  Bang Sai,ดินเหนียวปนทรายแป้ง,8,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินร่วนเหนียวปนทรายแป้ง,10,5610,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียวปนทรายแป้ง,8,5610,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,5610,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,5610,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินร่วนปนทรายแป้ง,11,5610,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,5610,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียวปนทรายแป้ง,8,5610,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,น้ำ,0,5610,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียว,3,5610,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินร่วนปนทรายแป้ง,11,5610,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,ดินเหนียวปนทรายแป้ง,8,5610,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Chai,น้ำ,0,5610,2.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินร่วนเหนียวปนทรายแป้ง,10,5610,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินเหนียว,3,5610,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินร่วนปนทรายแป้ง,11,5610,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,ดินเหนียวปนทรายแป้ง,8,5610,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Ban,น้ำ,0,5610,1.50,3
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินเหนียว,3,5610,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินเหนียว,3,5610,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนปนทรายแป้ง,11,5610,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนเหนียวปนทรายแป้ง,10,5610,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,ดินร่วนเหนียวปนทรายแป้ง,10,5610,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pahan,น้ำ,0,5610,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินร่วนเหนียวปนทรายแป้ง,10,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียวปนทรายแป้ง,8,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินร่วนปนทรายแป้ง,11,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียว,3,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,ดินเหนียวปนทรายแป้ง,8,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Bang Pa-in,น้ำ,0,5610,2.00,2
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนปนทรายแป้ง,11,5610,7.00,2
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนเหนียวปนทรายแป้ง,10,5610,7.00,2
Phra Nakhon Si Ayudhya,Amphoe Ban Phreak,ดินร่วนเหนียวปนทรายแป้ง,10,5610,7.00,2
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินเหนียว,3,5610,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินเหนียว,3,5610,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินร่วนปนทรายแป้ง,11,5610,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,ดินร่วนเหนียวปนทรายแป้ง,10,5610,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phak Hai,น้ำ,0,5610,6.50,3
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินร่วนเหนียวปนทรายแป้ง,10,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียวปนทรายแป้ง,8,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียว,3,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินร่วนปนทรายแป้ง,11,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,ดินเหนียวปนทรายแป้ง,8,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phra Nakhon Si Ayudhya,น้ำ,0,5610,1.50,2
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินเหนียว,3,5610,3.00,2
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินเหนียว,3,5610,3.00,2
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินร่วนเหนียวปนทรายแป้ง,10,5610,3.00,2
Phra Nakhon Si Ayudhya,Amphoe Phachi,ดินเหนียวปนทรายแป้ง,8,5610,3.00,2
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินเหนียว,3,5610,7.00,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินเหนียว,3,5610,7.00,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินร่วนปนทรายแป้ง,11,5610,7.00,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินร่วนเหนียวปนทรายแป้ง,10,5610,7.00,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,ดินร่วนเหนียวปนทรายแป้ง,10,5610,7.00,1
Phra Nakhon Si Ayudhya,Amphoe Maharat,น้ำ,0,5610,7.00,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียวปนทรายแป้ง,8,5610,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียว,3,5610,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียว,3,5610,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียว,3,5610,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Lat Bua Luang,ดินเหนียวปนทรายแป้ง,8,5610,0.00,1
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียว,3,5610,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินร่วนปนทรายแป้ง,11,5610,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียว,3,5610,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียว,3,5610,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียวปนทรายแป้ง,8,5610,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียว,3,5610,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Wang Noi,ดินเหนียวปนทรายแป้ง,8,5610,3.00,3
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินเหนียวปนทรายแป้ง,8,5610,1.00,2
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินเหนียว,3,5610,1.00,2
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินเหนียว,3,5610,1.00,2
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินร่วนปนทรายแป้ง,11,5610,1.00,2
Phra Nakhon Si Ayudhya,Amphoe Sena,ดินเหนียวปนทรายแป้ง,8,5610,1.00,2
Phra Nakhon Si Ayudhya,Amphoe Sena,น้ำ,0,5610,1.00,2
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียว,3,5610,1.00,1
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียว,3,5610,1.00,1
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินร่วนปนทรายแป้ง,11,5610,1.00,1
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียว,3,5610,1.00,1
Phra Nakhon Si Ayudhya,Amphoe Uthai,ดินเหนียวปนทรายแป้ง,8,5610,1.00,1
